Name,Team_from,League_from,Team_to,Season,Transfer_fee
Martin Laursen,AC Milan,Serie A,Aston Villa,2004-2005,4.0
Ricardo Oliveira,Valencia CF,LaLiga,Real Betis,2004-2005,4.0
Francis Jeffers,Arsenal,Premier League,Charlton,2004-2005,3.9
Nicky Butt,Man Utd,Premier League,Newcastle,2004-2005,3.75
Thomas Buffel,Feyenoord,Eredivisie,Rangers,2004-2005,3.5
John Carew,Valencia CF,LaLiga,Besiktas,2004-2005,3.5
Dennis Rommedahl,PSV Eindhoven,Eredivisie,Charlton,2004-2005,3.5
Thomas Gravesen,Everton,Premier League,Real Madrid,2004-2005,3.4
Jesper Grönkjaer,Chelsea,Premier League,Birmingham,2004-2005,3.3
Martin Jiranek,Reggina,Serie A,Spartak Moscow,2004-2005,3.3
Danny Murphy,Liverpool,Premier League,Charlton,2004-2005,3.25
Cristian Silvestri,Lecce,Serie A,Catania,2004-2005,3.2
Diego Forlán,Man Utd,Premier League,Villarreal CF,2004-2005,3.2
Nigel Quashie,Portsmouth,Premier League,Southampton,2004-2005,3.15
Amdy Fayé,Portsmouth,Premier League,Newcastle,2004-2005,3.0
Pablo Ibáñez,Albacete,LaLiga,Atlético Madrid,2004-2005,3.0
Stephen Carr,Spurs,Premier League,Newcastle,2004-2005,3.0
Tomasz Radzinski,Everton,Premier League,Fulham,2004-2005,3.0
Josemi,Málaga CF,LaLiga,Liverpool,2004-2005,3.0
Jelle Van Damme,AFC Ajax,Eredivisie,Southampton,2004-2005,3.0
Peter Crouch,Aston Villa,Premier League,Southampton,2004-2005,3.0
Eric Djemba-Djemba,Man Utd,Premier League,Aston Villa,2004-2005,2.54
