Name,Team_from,League_from,Team_to,Season,Transfer_fee
Andrea Bertolacci,Genoa,Serie A,AS Roma,2015-2016,8.5
Mattia Destro,AS Roma,Serie A,Bologna,2015-2016,8.5
Nordin Amrabat,Málaga CF,LaLiga,Watford,2015-2016,8.4
Matej Vydra,Udinese Calcio,Serie A,Watford,2015-2016,8.4
Andrea Belotti,US Palermo,Serie A,Torino,2015-2016,8.4
Jonny Evans,Man Utd,Premier League,West Brom,2015-2016,8.3
Bradley Johnson,Norwich,Premier League,Derby,2015-2016,8.1
Raúl García,Atlético Madrid,LaLiga,Athletic Bilbao,2015-2016,8.0
Thorgan Hazard,Chelsea,Premier League,Bor. M'gladbach,2015-2016,8.0
Jeison Murillo,Granada CF,LaLiga,Inter,2015-2016,8.0
Samu García,Málaga CF,LaLiga,Villarreal CF,2015-2016,8.0
Samu Castillejo,Málaga CF,LaLiga,Villarreal CF,2015-2016,8.0
Steven Nzonzi,Stoke City,Premier League,Sevilla FC,2015-2016,8.0
Alberto Grassi,Atalanta,Serie A,SSC Napoli,2015-2016,8.0
Rolando Mandragora,Genoa,Serie A,Juventus,2015-2016,8.0
Stewart Downing,West Ham,Premier League,Middlesbrough,2015-2016,7.9
Robert Beric,Rapid Vienna,Bundesliga,Saint-Étienne,2015-2016,7.5
Iago Falque,Genoa,Serie A,AS Roma,2015-2016,7.0
Gökhan Inler,SSC Napoli,Serie A,Leicester,2015-2016,7.0
Juanmi,Málaga CF,LaLiga,Southampton,2015-2016,7.0
Vlad Chiriches,Spurs,Premier League,SSC Napoli,2015-2016,7.0
Oriol Romeu,Chelsea,Premier League,Southampton,2015-2016,7.0
Yohan Benalouane,Atalanta,Serie A,Leicester,2015-2016,7.0
Jiawei Yang,SH Shenxin,League One,JS Suning,2015-2016,6.75
Carlos Tévez,Juventus,Serie A,Boca Juniors,2015-2016,6.5
Robin van Persie,Man Utd,Premier League,Fenerbahce,2015-2016,6.5
Lewis Holtby,Spurs,Premier League,Hamburger SV,2015-2016,6.5
Steven Berghuis,AZ Alkmaar,Eredivisie,Watford,2015-2016,6.5
Giovani dos Santos,Villarreal CF,LaLiga,Los Angeles,2015-2016,6.35
Nani,Man Utd,Premier League,Fenerbahce,2015-2016,6.0
Aaron Lennon,Spurs,Premier League,Everton,2015-2016,6.0
Pedro Obiang,Sampdoria,Serie A,West Ham,2015-2016,6.0
Kiko Casilla,Espanyol,LaLiga,Real Madrid,2015-2016,6.0
Eduardo Vargas,SSC Napoli,Serie A,TSG Hoffenheim,2015-2016,6.0
Nemanja Gudelj,AZ Alkmaar,Eredivisie,AFC Ajax,2015-2016,6.0
Gerard Deulofeu,FC Barcelona,LaLiga,Everton,2015-2016,6.0
Iago Aspas,Liverpool,Premier League,Sevilla FC,2015-2016,6.0
Daniele Baselli,Atalanta,Serie A,Torino,2015-2016,6.0
Gaël Kakuta,Chelsea,Premier League,Sevilla FC,2015-2016,6.0
David Nugent,Leicester,Premier League,Middlesbrough,2015-2016,5.6
Paul Pogba,Juventus,Serie A,Man Utd,2016-2017,105.0
Gonzalo Higuaín,SSC Napoli,Serie A,Juventus,2016-2017,90.0
Oscar,Chelsea,Premier League,SIPG,2016-2017,60.0
John Stones,Everton,Premier League,Man City,2016-2017,55.6
Sadio Mané,Southampton,Premier League,Liverpool,2016-2017,41.2
Shkodran Mustafi,Valencia CF,LaLiga,Arsenal,2016-2017,41.0
Eric Bailly,Villarreal CF,LaLiga,Man Utd,2016-2017,38.0
André Gomes,Valencia CF,LaLiga,FC Barcelona,2016-2017,37.0
N'Golo Kanté,Leicester,Premier League,Chelsea,2016-2017,35.8
Miralem Pjanic,AS Roma,Serie A,Juventus,2016-2017,32.0
Arkadiusz Milik,AFC Ajax,Eredivisie,SSC Napoli,2016-2017,32.0
Christian Benteke,Liverpool,Premier League,Crystal Palace,2016-2017,31.2
Álvaro Morata,Juventus,Serie A,Real Madrid,2016-2017,30.0
Paco Alcácer,Valencia CF,LaLiga,FC Barcelona,2016-2017,30.0
Kévin Gameiro,Sevilla FC,LaLiga,Atlético Madrid,2016-2017,30.0
Dimitri Payet,West Ham,Premier League,Marseille,2016-2017,29.3
Yannick Bolasie,Crystal Palace,Premier League,Everton,2016-2017,28.9
Grzegorz Krychowiak,Sevilla FC,LaLiga,Paris SG,2016-2017,27.5
Jesé,Real Madrid,LaLiga,Paris SG,2016-2017,25.0
André Ayew,Swansea,Premier League,West Ham,2016-2017,24.1
Naby Keïta,RB Salzburg,Bundesliga,RB Leipzig,2016-2017,24.0
Odion Ighalo,Watford,Premier League,CC Yatai,2016-2017,23.3
Marcos Alonso,Fiorentina,Serie A,Chelsea,2016-2017,23.0
Morgan Schneiderlin,Man Utd,Premier League,Everton,2016-2017,22.9
Vincent Janssen,AZ Alkmaar,Eredivisie,Spurs,2016-2017,22.1
Antonio Candreva,Lazio,Serie A,Inter,2016-2017,22.0
Mattia Caldara,Atalanta,Serie A,Juventus,2016-2017,19.0
Joaquín Correa,Sampdoria,Serie A,Sevilla FC,2016-2017,18.2
Claudio Bravo,FC Barcelona,LaLiga,Man City,2016-2017,18.0
Nolito,Celta de Vigo,LaLiga,Man City,2016-2017,18.0
Leonardo Pavoletti,Genoa,Serie A,SSC Napoli,2016-2017,18.0
Jordon Ibe,Liverpool,Premier League,Bournemouth,2016-2017,18.0
Alexandre Pato,Villarreal CF,LaLiga,TJ Quanjian,2016-2017,18.0
Borja Bastón,Atlético Madrid,LaLiga,Swansea,2016-2017,18.0
Yuhao Zhao,ZJ Greentown,League One,HB CFFC,2016-2017,17.8
Manolo Gabbiadini,SSC Napoli,Serie A,Southampton,2016-2017,17.0
Franco Vázquez,US Palermo,Serie A,Sevilla FC,2016-2017,16.8
Memphis Depay,Man Utd,Premier League,Olympique Lyon,2016-2017,16.0
Sime Vrsaljko,Sassuolo,Serie A,Atlético Madrid,2016-2017,16.0
Joe Allen,Liverpool,Premier League,Stoke City,2016-2017,15.5
Ryan Mason,Spurs,Premier League,Hull City,2016-2017,15.4
Graziano Pellè,Southampton,Premier League,SD Luneng,2016-2017,15.25
Nacer Chadli,Spurs,Premier League,West Brom,2016-2017,15.2
Mohamed Salah,Chelsea,Premier League,AS Roma,2016-2017,15.0
Jonatan Soriano,RB Salzburg,Bundesliga,BJ Sinobo Guoan,2016-2017,15.0
Isaac Success,Granada CF,LaLiga,Watford,2016-2017,15.0
Amadou Diawara,Bologna,Serie A,SSC Napoli,2016-2017,14.5
Victor Wanyama,Southampton,Premier League,Spurs,2016-2017,14.4
Lucas Pérez,Dep. La Coruña,LaLiga,Arsenal,2016-2017,14.0
Piotr Zielinski,Udinese Calcio,Serie A,SSC Napoli,2016-2017,14.0
Ashley Williams,Swansea,Premier League,Everton,2016-2017,14.0
Saido Berahino,West Brom,Premier League,Stoke City,2016-2017,13.9
Jeffrey Schlupp,Leicester,Premier League,Crystal Palace,2016-2017,13.8
Roberto Soriano,Sampdoria,Serie A,Villarreal CF,2016-2017,13.75
Stevan Jovetic,Man City,Premier League,Inter,2016-2017,13.5
Stephan El Shaarawy,AC Milan,Serie A,AS Roma,2016-2017,13.0
Roberto Pereyra,Juventus,Serie A,Watford,2016-2017,13.0
Nicola Sansone,Sassuolo,Serie A,Villarreal CF,2016-2017,13.0
Jasper Cillessen,AFC Ajax,Eredivisie,FC Barcelona,2016-2017,13.0
Fernando,Sampdoria,Serie A,Spartak Moscow,2016-2017,12.5
Riechedly Bazoer,AFC Ajax,Eredivisie,VfL Wolfsburg,2016-2017,12.0
Matt Ritchie,Bournemouth,Premier League,Newcastle,2016-2017,12.0
Robert Snodgrass,Hull City,Premier League,West Ham,2016-2017,12.0
Dwight Gayle,Crystal Palace,Premier League,Newcastle,2016-2017,12.0
James Tomkins,West Ham,Premier League,Crystal Palace,2016-2017,11.7
Jeffrey Bruma,PSV Eindhoven,Eredivisie,VfL Wolfsburg,2016-2017,11.5
Jake Livermore,Hull City,Premier League,West Brom,2016-2017,11.5
Edin Dzeko,Man City,Premier League,AS Roma,2016-2017,11.0
Hakim Ziyech,FC Twente,Eredivisie,AFC Ajax,2016-2017,11.0
Kamil Glik,Torino,Serie A,Monaco,2016-2017,11.0
Andrej Kramaric,Leicester,Premier League,TSG Hoffenheim,2016-2017,11.0
Cristian Ansaldi,Genoa,Serie A,Inter,2016-2017,10.5
Patrick van Aanholt,Sunderland,Premier League,Crystal Palace,2016-2017,10.5
Marten de Roon,Atalanta,Serie A,Middlesbrough,2016-2017,10.5
Lorenzo Tonelli,FC Empoli,Serie A,SSC Napoli,2016-2017,10.0
Dayot Upamecano,RB Salzburg,Bundesliga,RB Leipzig,2016-2017,10.0
Rubén Rochina,Granada CF,LaLiga,Rubin Kazan,2016-2017,10.0
Éder,Sampdoria,Serie A,Inter,2016-2017,9.8
Chenglin Zhang,BJ Renhe,League One,GZ Evergrande,2016-2017,9.65
Papy Djilobodji,Chelsea,Premier League,Sunderland,2016-2017,9.5
Ciro Immobile,Sevilla FC,LaLiga,Lazio,2016-2017,9.45
Matej Vydra,Watford,Premier League,Derby,2016-2017,9.4
Alex Pritchard,Spurs,Premier League,Norwich,2016-2017,9.4
James Chester,West Brom,Premier League,Aston Villa,2016-2017,9.3
José Fonte,Southampton,Premier League,West Ham,2016-2017,9.2
Nicolás López,Udinese Calcio,Serie A,Internacional,2016-2017,9.09
Miranda,Atlético Madrid,LaLiga,Inter,2016-2017,9.0
Adem Ljajic,AS Roma,Serie A,Torino,2016-2017,9.0
Diego Perotti,Genoa,Serie A,AS Roma,2016-2017,9.0
Gianluca Lapadula,Pescara,Serie A,AC Milan,2016-2017,9.0
Ademola Lookman,Charlton,League One,Everton,2016-2017,8.8
Gianluca Caprari,Pescara,Serie A,Inter,2016-2017,8.25
Marc Bartra,FC Barcelona,LaLiga,Bor. Dortmund,2016-2017,8.0
Tomás Rincón,Genoa,Serie A,Juventus,2016-2017,8.0
Hernanes,Juventus,Serie A,HB CFFC,2016-2017,8.0
Alfred N'Diaye,Real Betis,LaLiga,Villarreal CF,2016-2017,8.0
Dodô,AS Roma,Serie A,Inter,2016-2017,7.8
Antonio Sanabria,AS Roma,Serie A,Real Betis,2016-2017,7.5
Timothée Kolodziejczak,Sevilla FC,LaLiga,Bor. M'gladbach,2016-2017,7.5
Malick Evouna,Ahly,Premier League,TJ Teda,2016-2017,7.25
Denis Cheryshev,Real Madrid,LaLiga,Villarreal CF,2016-2017,7.0
Gerónimo Rulli,Man City,Premier League,Real Sociedad,2016-2017,7.0
Anwar El Ghazi,AFC Ajax,Eredivisie,LOSC Lille,2016-2017,7.0
Jonathas,Real Sociedad,LaLiga,Rubin Kazan,2016-2017,7.0
Martin Hinteregger,RB Salzburg,Bundesliga,FC Augsburg,2016-2017,7.0
Leo Baptistão,Atlético Madrid,LaLiga,Espanyol,2016-2017,7.0
Patrick Bamford,Chelsea,Premier League,Middlesbrough,2016-2017,6.9
Haiqing Cao,ZJ Greentown,League One,JS Suning,2016-2017,6.87
Jhon Córdoba,Granada CF,LaLiga,1.FSV Mainz 05,2016-2017,6.5
Simone Verdi,AC Milan,Serie A,Bologna,2016-2017,6.5
Neymar,FC Barcelona,LaLiga,Paris SG,2017-2018,222.0
Philippe Coutinho,Liverpool,Premier League,FC Barcelona,2017-2018,125.0
Romelu Lukaku,Everton,Premier League,Man Utd,2017-2018,84.7
Virgil van Dijk,Southampton,Premier League,Liverpool,2017-2018,78.8
Diego Costa,Chelsea,Premier League,Atlético Madrid,2017-2018,66.0
Álvaro Morata,Real Madrid,LaLiga,Chelsea,2017-2018,66.0
Aymeric Laporte,Athletic Bilbao,LaLiga,Man City,2017-2018,65.0
Kyle Walker,Spurs,Premier League,Man City,2017-2018,52.7
Gylfi Sigurdsson,Swansea,Premier League,Everton,2017-2018,49.4
Nemanja Matic,Chelsea,Premier League,Man Utd,2017-2018,44.7
Leonardo Bonucci,Juventus,Serie A,AC Milan,2017-2018,42.0
Mohamed Salah,AS Roma,Serie A,Liverpool,2017-2018,42.0
Federico Bernardeschi,Fiorentina,Serie A,Juventus,2017-2018,40.0
Cédric Bakambu,Villarreal CF,LaLiga,BJ Sinobo Guoan,2017-2018,40.0
Davinson Sánchez,AFC Ajax,Eredivisie,Spurs,2017-2018,40.0
Alex Oxlade-Chamberlain,Arsenal,Premier League,Liverpool,2017-2018,38.0
Danny Drinkwater,Leicester,Premier League,Chelsea,2017-2018,37.9
Vitolo,Sevilla FC,LaLiga,Atlético Madrid,2017-2018,36.0
Antonio Rüdiger,AS Roma,Serie A,Chelsea,2017-2018,35.0
Iñigo Martínez,Real Sociedad,LaLiga,Athletic Bilbao,2017-2018,32.0
Yannick Carrasco,Atlético Madrid,LaLiga,DL Yifang,2017-2018,30.0
Keita Baldé,Lazio,Serie A,Monaco,2017-2018,30.0
Danilo,Real Madrid,LaLiga,Man City,2017-2018,30.0
Michael Keane,Burnley,Premier League,Everton,2017-2018,28.5
Mamadou Sakho,Liverpool,Premier League,Crystal Palace,2017-2018,28.2
Kelechi Iheanacho,Man City,Premier League,Leicester,2017-2018,27.7
Davy Klaassen,AFC Ajax,Eredivisie,Everton,2017-2018,27.0
Milan Skriniar,Sampdoria,Serie A,Inter,2017-2018,27.0
Davide Zappacosta,Torino,Serie A,Chelsea,2017-2018,25.0
Theo Hernández,Atlético Madrid,LaLiga,Real Madrid,2017-2018,24.0
Matías Vecino,Fiorentina,Serie A,Inter,2017-2018,24.0
Andrea Conti,Atalanta,Serie A,AC Milan,2017-2018,24.0
Leandro Paredes,AS Roma,Serie A,Zenit S-Pb,2017-2018,23.0
André Ayew,West Ham,Premier League,Swansea,2017-2018,22.8
Nathan Aké,Chelsea,Premier League,Bournemouth,2017-2018,22.8
Theo Walcott,Arsenal,Premier League,Everton,2017-2018,22.5
Marko Arnautovic,Stoke City,Premier League,West Ham,2017-2018,22.3
Luis Muriel,Sampdoria,Serie A,Sevilla FC,2017-2018,21.5
Kingsley Coman,Juventus,Serie A,Bayern Munich ,2017-2018,21.0
Pietro Pellegri,Genoa,Serie A,Monaco,2017-2018,21.0
Andre Gray,Burnley,Premier League,Watford,2017-2018,20.4
Juan Cuadrado,Chelsea,Premier League,Juventus,2017-2018,20.0
Roberto Gagliardini,Atalanta,Serie A,Inter,2017-2018,20.0
Óliver Torres,Atlético Madrid,LaLiga,FC Porto,2017-2018,20.0
Emerson,AS Roma,Serie A,Chelsea,2017-2018,20.0
Nikola Maksimovic,Torino,Serie A,SSC Napoli,2017-2018,20.0
Kevin Wimmer,Spurs,Premier League,Stoke City,2017-2018,19.4
Nabil Bentaleb,Spurs,Premier League,FC Schalke 04,2017-2018,19.0
Mateo Musacchio,Villarreal CF,LaLiga,AC Milan,2017-2018,18.0
Lucas Biglia,Lazio,Serie A,AC Milan,2017-2018,17.0
Olivier Giroud,Arsenal,Premier League,Chelsea,2017-2018,17.0
Jürgen Locadia,PSV Eindhoven,Eredivisie,Brighton,2017-2018,17.0
Mario Lemina,Juventus,Serie A,Southampton,2017-2018,17.0
Ross Barkley,Everton,Premier League,Chelsea,2017-2018,16.9
Dani Ceballos,Real Betis,LaLiga,Real Madrid,2017-2018,16.5
Wesley Hoedt,Lazio,Serie A,Southampton,2017-2018,16.4
Simone Zaza,Juventus,Serie A,Valencia CF,2017-2018,16.0
Yuri Berchiche,Real Sociedad,LaLiga,Paris SG,2017-2018,16.0
Fernando Llorente,Swansea,Premier League,Spurs,2017-2018,15.1
Terence Kongolo,Feyenoord,Eredivisie,Monaco,2017-2018,15.0
Giovanni Simeone,Genoa,Serie A,Fiorentina,2017-2018,15.0
Vicente Iborra,Sevilla FC,LaLiga,Leicester,2017-2018,15.0
Gianluca Caprari,Inter,Serie A,Sampdoria,2017-2018,15.0
Francis Coquelin,Arsenal,Premier League,Valencia CF,2017-2018,14.0
Enes Ünal,Man City,Premier League,Villarreal CF,2017-2018,14.0
Rick Karsdorp,Feyenoord,Eredivisie,AS Roma,2017-2018,14.0
Jay Rodríguez,Southampton,Premier League,West Brom,2017-2018,13.7
Wilfried Bony,Man City,Premier League,Swansea,2017-2018,13.0
Davy Pröpper,PSV Eindhoven,Eredivisie,Brighton,2017-2018,13.0
Roque Mesa,UD Las Palmas,LaLiga,Swansea,2017-2018,12.5
Bruno Peres,Torino,Serie A,AS Roma,2017-2018,12.5
Yevhen Konoplyanka,Sevilla FC,LaLiga,FC Schalke 04,2017-2018,12.5
Wojciech Szczesny,Arsenal,Premier League,Juventus,2017-2018,12.2
Gerard Deulofeu,Everton,Premier League,FC Barcelona,2017-2018,12.0
Pablo Fornals,Málaga CF,LaLiga,Villarreal CF,2017-2018,12.0
Mattia De Sciglio,AC Milan,Serie A,Juventus,2017-2018,12.0
Asmir Begovic,Chelsea,Premier League,Bournemouth,2017-2018,11.5
Florian Thauvin,Newcastle,Premier League,Marseille,2017-2018,11.0
Gabriel Paulista,Arsenal,Premier League,Valencia CF,2017-2018,11.0
Stevan Jovetic,Inter,Serie A,Monaco,2017-2018,11.0
Jonathan Viera,UD Las Palmas,LaLiga,BJ Sinobo Guoan,2017-2018,11.0
Lorenzo Pellegrini,Sassuolo,Serie A,AS Roma,2017-2018,10.0
Ignacio Camacho,Málaga CF,LaLiga,VfL Wolfsburg,2017-2018,10.0
Marco Benassi,Torino,Serie A,Fiorentina,2017-2018,10.0
Diafra Sakho,West Ham,Premier League,Stade Rennais,2017-2018,10.0
Bertrand Traoré,Chelsea,Premier League,Olympique Lyon,2017-2018,10.0
Florian Lejeune,SD Eibar,LaLiga,Newcastle,2017-2018,10.0
Roberto Inglese,Chievo Verona,Serie A,SSC Napoli,2017-2018,10.0
Pape Cheikh,Celta de Vigo,LaLiga,Olympique Lyon,2017-2018,10.0
Bruno Fernandes,Sampdoria,Serie A,Sporting CP,2017-2018,9.69
Tom Cleverley,Everton,Premier League,Watford,2017-2018,9.3
Aaron Mooy,Man City,Premier League,Huddersfield,2017-2018,9.1
Jack Cork,Swansea,Premier League,Burnley,2017-2018,9.1
Jairo Riedewald,AFC Ajax,Eredivisie,Crystal Palace,2017-2018,9.0
Adnan Januzaj,Man Utd,Premier League,Real Sociedad,2017-2018,8.5
Juan Jesus,Inter,Serie A,AS Roma,2017-2018,8.0
Matías Kranevitter,Atlético Madrid,LaLiga,Zenit S-Pb,2017-2018,8.0
Havard Nordtveit,West Ham,Premier League,TSG Hoffenheim,2017-2018,8.0
Mariano Díaz,Real Madrid,LaLiga,Olympique Lyon,2017-2018,8.0
Wanderson,RB Salzburg,Bundesliga,Krasnodar,2017-2018,8.0
Alessandro Bastoni,Atalanta,Serie A,Inter,2017-2018,8.0
Filippo Romagna,Juventus,Serie A,Cagliari Calcio,2017-2018,7.6
Kieran Gibbs,Arsenal,Premier League,West Brom,2017-2018,7.5
Christian Atsu,Chelsea,Premier League,Newcastle,2017-2018,7.5
Maximilian Wöber,Rapid Vienna,Bundesliga,AFC Ajax,2017-2018,7.5
Ashley Fletcher,West Ham,Premier League,Middlesbrough,2017-2018,7.3
Yuning Zhang,Vitesse,Eredivisie,West Brom,2017-2018,7.2
Éver Banega,Inter,Serie A,Sevilla FC,2017-2018,7.0
Nolito,Man City,Premier League,Sevilla FC,2017-2018,7.0
Konrad Laimer,RB Salzburg,Bundesliga,RB Leipzig,2017-2018,7.0
Sébastien Haller,FC Utrecht,Eredivisie,E. Frankfurt,2017-2018,7.0
Diego Llorente,Real Madrid,LaLiga,Real Sociedad,2017-2018,7.0
Clinton N'Jie,Spurs,Premier League,Marseille,2017-2018,7.0
Víctor Camarasa,Levante UD,LaLiga,Real Betis,2017-2018,7.0
Cristiano Ronaldo,Real Madrid,LaLiga,Juventus,2018-2019,117.0
Riyad Mahrez,Leicester,Premier League,Man City,2018-2019,67.8
Alisson,AS Roma,Serie A,Liverpool,2018-2019,62.5
Jorginho,SSC Napoli,Serie A,Chelsea,2018-2019,57.0
João Cancelo,Valencia CF,LaLiga,Juventus,2018-2019,40.4
Richarlison,Watford,Premier League,Everton,2018-2019,39.2
Radja Nainggolan,AS Roma,Serie A,Inter,2018-2019,38.0
Felipe Anderson,Lazio,Serie A,West Ham,2018-2019,38.0
Clément Lenglet,Sevilla FC,LaLiga,FC Barcelona,2018-2019,35.9
Lucas Torreira,Sampdoria,Serie A,Arsenal,2018-2019,30.0
Álvaro Odriozola,Real Sociedad,LaLiga,Real Madrid,2018-2019,30.0
Fabián Ruiz,Real Betis,LaLiga,SSC Napoli,2018-2019,30.0
Geoffrey Kondogbia,Inter,Serie A,Valencia CF,2018-2019,25.0
Simone Verdi,Bologna,Serie A,SSC Napoli,2018-2019,25.0
Alex Meret,Udinese Calcio,Serie A,SSC Napoli,2018-2019,22.0
Lucas Digne,FC Barcelona,LaLiga,Everton,2018-2019,20.2
Aleksandar Mitrovic,Newcastle,Premier League,Fulham,2018-2019,20.2
Rodri,Villarreal CF,LaLiga,Atlético Madrid,2018-2019,20.0
Gerard Moreno,Espanyol,LaLiga,Villarreal CF,2018-2019,20.0
Nikola Kalinic,Fiorentina,Serie A,AC Milan,2018-2019,20.0
Rolando Mandragora,Juventus,Serie A,Udinese Calcio,2018-2019,20.0
Alireza Jahanbakhsh,AZ Alkmaar,Eredivisie,Brighton,2018-2019,19.0
Duje Caleta-Car,RB Salzburg,Bundesliga,Marseille,2018-2019,19.0
Justin Kluivert,AFC Ajax,Eredivisie,AS Roma,2018-2019,17.25
Duván Zapata,SSC Napoli,Serie A,Sampdoria,2018-2019,17.0
Daley Blind,Man Utd,Premier League,AFC Ajax,2018-2019,16.0
Joaquín Correa,Sevilla FC,LaLiga,Lazio,2018-2019,15.0
Grégoire Defrel,Sassuolo,Serie A,AS Roma,2018-2019,15.0
Diogo Jota,Atlético Madrid,LaLiga,Wolves,2018-2019,14.0
Danny Ward,Liverpool,Premier League,Leicester,2018-2019,14.0
Davy Klaassen,Everton,Premier League,Werder Bremen,2018-2019,13.5
Benik Afobe,Wolves,Premier League,Stoke City,2018-2019,13.5
Gerard Deulofeu,FC Barcelona,LaLiga,Watford,2018-2019,13.0
Mattia Perin,Genoa,Serie A,Juventus,2018-2019,12.0
M'Baye Niang,AC Milan,Serie A,Torino,2018-2019,12.0
Mikel Merino,Newcastle,Premier League,Real Sociedad,2018-2019,12.0
Diego Rico,CD Leganés,LaLiga,Bournemouth,2018-2019,12.0
Dusan Tadic,Southampton,Premier League,AFC Ajax,2018-2019,11.4
Benik Afobe,Bournemouth,Premier League,Wolves,2018-2019,11.4
Angus Gunn,Man City,Premier League,Southampton,2018-2019,11.3
Tom Ince,Huddersfield,Premier League,Stoke City,2018-2019,11.2
Santiago Arias,PSV Eindhoven,Eredivisie,Atlético Madrid,2018-2019,11.0
Gianluca Lapadula,AC Milan,Serie A,Genoa,2018-2019,11.0
Wout Weghorst,AZ Alkmaar,Eredivisie,VfL Wolfsburg,2018-2019,10.5
Francesco Acerbi,Sassuolo,Serie A,Lazio,2018-2019,10.0
Leonardo Pavoletti,SSC Napoli,Serie A,Cagliari Calcio,2018-2019,10.0
Omar Mascarell,Real Madrid,LaLiga,FC Schalke 04,2018-2019,10.0
Diego Falcinelli,Sassuolo,Serie A,Bologna,2018-2019,10.0
Antonio Barreca,Torino,Serie A,Monaco,2018-2019,10.0
Federico Di Francesco,Bologna,Serie A,Sassuolo,2018-2019,10.0
Borja Iglesias,Celta de Vigo,LaLiga,Espanyol,2018-2019,10.0
Davide Santon,Inter,Serie A,AS Roma,2018-2019,9.5
Patrik Schick,Sampdoria,Serie A,AS Roma,2018-2019,9.0
Germán Pezzella,Real Betis,LaLiga,Fiorentina,2018-2019,9.0
Ramiro Funes Mori,Everton,Premier League,Villarreal CF,2018-2019,9.0
Pablo Maffeo,Man City,Premier League,VfB Stuttgart,2018-2019,9.0
Riccardo Saponara,FC Empoli,Serie A,Fiorentina,2018-2019,9.0
Khouma Babacar,Fiorentina,Serie A,Sassuolo,2018-2019,9.0
Lukasz Skorupski,AS Roma,Serie A,Bologna,2018-2019,9.0
Guido Pizarro,Sevilla FC,LaLiga,Tigres UANL,2018-2019,8.7
Nordin Amrabat,Watford,Premier League,Nasr,2018-2019,8.5
Roger Martínez,Villarreal CF,LaLiga,América,2018-2019,8.5
Armando Izzo,Genoa,Serie A,Torino,2018-2019,8.0
Chancel Mbemba,Newcastle,Premier League,FC Porto,2018-2019,8.0
Fran Beltrán,Rayo Vallecano,LaLiga,Celta de Vigo,2018-2019,8.0
Valon Berisha,RB Salzburg,Bundesliga,Lazio,2018-2019,7.5
Pierre Kunde,Atlético Madrid,LaLiga,1.FSV Mainz 05,2018-2019,7.5
Federico Valietti,Inter,Serie A,Genoa,2018-2019,7.5
Sam Johnstone,Man Utd,Premier League,West Brom,2018-2019,7.35
Jonny Castro,Celta de Vigo,LaLiga,Atlético Madrid,2018-2019,7.0
Wahbi Khazri,Sunderland,League One,Saint-Étienne,2018-2019,7.0
Davide Bettella,Inter,Serie A,Atalanta,2018-2019,7.0
Lewis Grabban,Bournemouth,Premier League,Nottm Forest,2018-2019,6.8
Valentino Lazaro,RB Salzburg,Bundesliga,Hertha BSC,2018-2019,6.5
Lucas Castro,Chievo Verona,Serie A,Cagliari Calcio,2018-2019,6.5
Riza Durmisi,Real Betis,LaLiga,Lazio,2018-2019,6.5
Daniel Wass,Celta de Vigo,LaLiga,Valencia CF,2018-2019,6.0
Tomás Rincón,Juventus,Serie A,Torino,2018-2019,6.0
Zakaria Labyad,FC Utrecht,Eredivisie,AFC Ajax,2018-2019,6.0
Éder,Inter,Serie A,JS Suning,2018-2019,5.7
Paddy McNair,Sunderland,League One,Middlesbrough,2018-2019,5.7
Fabio Borini,Sunderland,League One,AC Milan,2018-2019,5.5
Denzel Dumfries,Heerenveen,Eredivisie,PSV Eindhoven,2018-2019,5.5
Angeliño,Man City,Premier League,PSV Eindhoven,2018-2019,5.5
Sergi Gómez,Celta de Vigo,LaLiga,Sevilla FC,2018-2019,5.0
Adam Masina,Bologna,Serie A,Watford,2018-2019,5.0
Nemanja Maksimovic,Valencia CF,LaLiga,Getafe CF,2018-2019,5.0
Juan Iturbe,AS Roma,Serie A,Club Tijuana,2018-2019,5.0
Johan Mojica,Rayo Vallecano,LaLiga,Girona FC,2018-2019,5.0
Pietro Iemmello,Sassuolo,Serie A,Benevento,2018-2019,5.0
Marco Tumminello,AS Roma,Serie A,Atalanta,2018-2019,5.0
Jens Odgaard,Inter,Serie A,Sassuolo,2018-2019,5.0
Marco Carraro,Inter,Serie A,Atalanta,2018-2019,5.0
Giangiacomo Magnani,Juventus,Serie A,Sassuolo,2018-2019,5.0
Jasmin Kurtic,Atalanta,Serie A,SPAL,2018-2019,4.8
Silvan Widmer,Udinese Calcio,Serie A,FC Basel,2018-2019,4.5
